workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,1,1,1,1,1,julia-precompile-6c95ff9d77-m8gfz,unknown,4312.724959,836.825167,26.090421,3808.465958,1,baseline,200,200,
lusearch,1,2,1,2,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.845084,1.191557,3834.954977,2,baseline,200,199,
lusearch,1,3,1,3,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,6.136292,1.247935,3841.032028,3,baseline,200,198,
lusearch,1,4,1,4,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,6.336959,1.313022,3847.556114,4,baseline,200,199,
lusearch,1,5,1,5,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.089125,1.395567,3853.057146,5,baseline,200,199,
lusearch,1,6,1,6,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,7.039333,1.435403,3859.310150,6,baseline,200,199,
lusearch,1,7,1,7,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.397417,1.428819,3865.520000,7,baseline,200,199,
lusearch,1,8,1,8,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,12.665375,7.906422,3877.512932,8,baseline,200,199,
lusearch,1,9,1,9,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.530417,1.195765,3883.866072,9,baseline,200,197,
lusearch,1,10,1,10,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.677834,1.202725,3889.076948,10,baseline,200,200,
lusearch,1,11,1,11,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.907334,1.435152,3895.518064,11,baseline,200,200,
lusearch,1,12,1,12,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,6.383166,1.191016,3902.101040,12,baseline,200,200,
lusearch,1,13,1,13,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,8.350667,1.317897,3909.851074,13,baseline,200,198,
lusearch,1,14,1,14,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.055500,1.164014,3915.745020,14,baseline,200,200,
lusearch,1,15,1,15,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,4.732625,1.157681,3920.711040,15,baseline,200,199,
lusearch,1,16,1,16,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,6.344291,1.228517,3926.559925,16,baseline,200,200,
lusearch,1,17,1,17,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.940333,1.191932,3932.471991,17,baseline,200,199,
lusearch,1,18,1,18,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,5.125209,1.186766,3937.884092,18,baseline,200,200,
lusearch,1,19,1,19,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,6.171125,1.420152,3944.148064,19,baseline,200,199,
lusearch,1,20,1,20,0,julia-precompile-6c95ff9d77-m8gfz,unknown,,4.792375,1.227142,3949.393034,20,baseline,200,200,
lusearch,1,21,2,1,1,julia-precompile-6c95ff9d77-xdqlg,unknown,3003.972542,913.833792,27.949177,2665.798903,1,baseline,200,200,
lusearch,1,22,2,2,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,7.381917,1.496947,2694.078922,2,baseline,200,199,
lusearch,1,23,2,3,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,5.765375,1.223143,2700.598001,3,baseline,200,199,
lusearch,1,24,2,4,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,5.468584,1.235101,2706.406832,4,baseline,200,198,
lusearch,1,25,2,5,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,8.079500,1.579784,2713.240862,5,baseline,200,196,
lusearch,1,26,2,6,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,6.059834,1.557991,2720.589876,6,baseline,200,199,
lusearch,1,27,2,7,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,10.807959,1.740042,2729.751825,7,baseline,200,199,
lusearch,1,28,2,8,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,13.562125,7.699120,2744.386911,8,baseline,200,197,
lusearch,1,29,2,9,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,6.499209,1.223017,2751.802921,9,baseline,200,198,
lusearch,1,30,2,10,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,6.106625,1.240434,2757.591963,10,baseline,200,199,
lusearch,1,31,2,11,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,7.220333,1.580368,2765.050888,11,baseline,200,200,
lusearch,1,32,2,12,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,5.352167,1.212725,2770.925999,12,baseline,200,199,
lusearch,1,33,2,13,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,5.702875,1.509490,2776.456833,13,baseline,200,198,
lusearch,1,34,2,14,0,julia-precompile-6c95ff9d77-xdqlg,unknown,,6.572000,1.233768,2783.200979,14,baseline,200,199,
