workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
eclipse,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,408.836679,347.511177,67.7,1,baseline,200,219,
eclipse,1,2,1,2,0,julia-precompile-0001,uid-0001,,395.655076,336.306815,242.2,2,baseline,200,87,
eclipse,1,3,1,3,0,julia-precompile-0001,uid-0001,,389.578382,331.141625,456.1,3,baseline,200,263,
eclipse,1,4,1,4,0,julia-precompile-0001,uid-0001,,379.637506,322.691880,654.5,4,baseline,200,136,
eclipse,1,5,1,5,0,julia-precompile-0001,uid-0001,,364.094254,309.480116,875.9,5,baseline,200,120,
eclipse,1,6,1,6,0,julia-precompile-0001,uid-0001,,361.906301,307.620356,1034.0,6,baseline,200,119,
eclipse,1,7,1,7,0,julia-precompile-0001,uid-0001,,354.486338,301.313387,1238.0,7,baseline,200,171,
eclipse,1,8,1,8,0,julia-precompile-0001,uid-0001,,354.328100,301.178885,1460.4,8,baseline,200,286,
eclipse,1,9,1,9,0,julia-precompile-0001,uid-0001,,343.081222,291.619038,1692.2,9,baseline,200,100,
eclipse,1,10,1,10,0,julia-precompile-0001,uid-0001,,330.949626,281.307182,1882.9,10,baseline,200,238,
eclipse,1,11,1,11,0,julia-precompile-0001,uid-0001,,326.098281,277.183539,2007.0,11,baseline,200,249,
eclipse,1,12,1,12,0,julia-precompile-0001,uid-0001,,310.925275,264.286484,2228.9,12,baseline,200,100,
eclipse,1,13,1,13,0,julia-precompile-0001,uid-0001,,315.097004,267.832454,2445.3,13,baseline,200,293,
eclipse,1,14,1,14,0,julia-precompile-0001,uid-0001,,291.397095,247.687531,2637.0,14,baseline,200,133,
eclipse,1,15,1,15,0,julia-precompile-0001,uid-0001,,289.774391,246.308232,2807.1,15,baseline,200,242,
eclipse,1,16,1,16,0,julia-precompile-0001,uid-0001,,279.607333,237.666233,3072.9,16,baseline,200,121,
eclipse,1,17,1,17,0,julia-precompile-0001,uid-0001,,276.854736,235.326526,3268.8,17,baseline,200,136,
eclipse,1,18,1,18,0,julia-precompile-0001,uid-0001,,276.444483,234.977811,3484.3,18,baseline,200,278,
eclipse,1,19,1,19,0,julia-precompile-0001,uid-0001,,279.786394,237.818435,3640.1,19,baseline,200,96,
eclipse,1,20,1,20,0,julia-precompile-0001,uid-0001,,267.305628,227.209784,3894.3,20,baseline,200,263,
eclipse,1,21,1,21,0,julia-precompile-0001,uid-0001,,254.296711,216.152204,4091.5,21,baseline,200,197,
eclipse,1,22,1,22,0,julia-precompile-0001,uid-0001,,260.235222,221.199939,4214.0,22,baseline,200,270,
eclipse,1,23,1,23,0,julia-precompile-0001,uid-0001,,242.417516,206.054889,4489.8,23,baseline,200,182,
eclipse,1,24,1,24,0,julia-precompile-0001,uid-0001,,239.698883,203.744051,4699.7,24,baseline,200,115,
eclipse,1,25,1,25,0,julia-precompile-0001,uid-0001,,233.679243,198.627357,4811.0,25,baseline,200,240,
eclipse,1,26,1,26,0,julia-precompile-0001,uid-0001,,231.098355,196.433602,5068.0,26,baseline,200,232,
eclipse,1,27,1,27,0,julia-precompile-0001,uid-0001,,231.760685,196.996582,5252.9,27,baseline,200,221,
eclipse,1,28,1,28,0,julia-precompile-0001,uid-0001,,223.833313,190.258316,5401.1,28,baseline,200,264,
eclipse,1,29,1,29,0,julia-precompile-0001,uid-0001,,226.251824,192.314050,5676.9,29,baseline,200,167,
eclipse,1,30,1,30,0,julia-precompile-0001,uid-0001,,220.535027,187.454773,5843.5,30,baseline,200,196,
eclipse,1,31,1,31,0,julia-precompile-0001,uid-0001,,217.465223,184.845439,6097.2,31,baseline,200,275,
eclipse,1,32,1,32,0,julia-precompile-0001,uid-0001,,203.724053,173.165445,6291.3,32,baseline,200,240,
eclipse,1,33,1,33,0,julia-precompile-0001,uid-0001,,196.731337,167.221637,6415.3,33,baseline,200,275,
eclipse,1,34,1,34,0,julia-precompile-0001,uid-0001,,203.343208,172.841726,6695.3,34,baseline,200,215,
eclipse,1,35,1,35,0,julia-precompile-0001,uid-0001,,198.218837,168.486012,6811.2,35,baseline,200,172,
eclipse,1,36,1,36,0,julia-precompile-0001,uid-0001,,183.249784,155.762316,7083.2,36,baseline,200,158,
eclipse,1,37,1,37,0,julia-precompile-0001,uid-0001,,183.691668,156.137918,7207.9,37,baseline,200,267,
eclipse,1,38,1,38,0,julia-precompile-0001,uid-0001,,184.108281,156.492039,7406.9,38,baseline,200,274,
eclipse,1,39,1,39,0,julia-precompile-0001,uid-0001,,172.977412,147.030800,7694.7,39,baseline,200,122,
eclipse,1,40,1,40,0,julia-precompile-0001,uid-0001,,171.836961,146.061416,7887.2,40,baseline,200,188,
eclipse,1,41,1,41,0,julia-precompile-0001,uid-0001,,182.460996,155.091846,8069.0,41,baseline,200,262,
eclipse,1,42,1,42,0,julia-precompile-0001,uid-0001,,162.566995,138.181946,8299.5,42,baseline,200,246,
eclipse,1,43,1,43,0,julia-precompile-0001,uid-0001,,153.329966,130.330471,8424.8,43,baseline,200,96,
eclipse,1,44,1,44,0,julia-precompile-0001,uid-0001,,168.309886,143.063403,8658.8,44,baseline,200,138,
eclipse,1,45,1,45,0,julia-precompile-0001,uid-0001,,155.376985,132.070437,8805.9,45,baseline,200,97,
eclipse,1,46,1,46,0,julia-precompile-0001,uid-0001,,152.552735,129.669825,9086.0,46,baseline,200,98,
eclipse,1,47,1,47,0,julia-precompile-0001,uid-0001,,145.123553,123.355020,9253.9,47,baseline,200,265,
eclipse,1,48,1,48,0,julia-precompile-0001,uid-0001,,146.614166,124.622041,9457.1,48,baseline,200,201,
eclipse,1,49,1,49,0,julia-precompile-0001,uid-0001,,144.507952,122.831759,9609.4,49,baseline,200,248,
eclipse,1,50,1,50,0,julia-precompile-0001,uid-0001,,148.228055,125.993847,9842.4,50,baseline,200,199,
eclipse,1,51,1,51,0,julia-precompile-0001,uid-0001,,140.059749,119.050786,10064.6,51,baseline,200,95,
eclipse,1,52,1,52,0,julia-precompile-0001,uid-0001,,134.604129,114.413509,10233.9,52,baseline,200,300,
eclipse,1,53,1,53,0,julia-precompile-0001,uid-0001,,136.576784,116.090266,10414.0,53,baseline,200,126,
eclipse,1,54,1,54,0,julia-precompile-0001,uid-0001,,133.528331,113.499082,10625.0,54,baseline,200,99,
eclipse,1,55,1,55,0,julia-precompile-0001,uid-0001,,117.433438,99.818422,10805.1,55,baseline,200,218,
eclipse,1,56,1,56,0,julia-precompile-0001,uid-0001,,130.398656,110.838858,11096.9,56,baseline,200,272,
eclipse,1,57,1,57,0,julia-precompile-0001,uid-0001,,126.008491,107.107217,11221.4,57,baseline,200,182,
eclipse,1,58,1,58,0,julia-precompile-0001,uid-0001,,118.696119,100.891701,11416.5,58,baseline,200,80,
eclipse,1,59,1,59,0,julia-precompile-0001,uid-0001,,124.123211,105.504729,11645.5,59,baseline,200,188,
eclipse,1,60,1,60,0,julia-precompile-0001,uid-0001,,116.844921,99.318182,11873.1,60,baseline,200,280,
eclipse,1,61,1,61,0,julia-precompile-0001,uid-0001,,106.206696,90.275691,12029.7,61,baseline,200,94,
eclipse,1,62,1,62,0,julia-precompile-0001,uid-0001,,109.850691,93.373087,12254.2,62,baseline,200,271,
eclipse,1,63,1,63,0,julia-precompile-0001,uid-0001,,110.382766,93.825351,12491.9,63,baseline,200,215,
eclipse,1,64,1,64,0,julia-precompile-0001,uid-0001,,110.955658,94.312309,12696.1,64,baseline,200,100,
eclipse,1,65,1,65,0,julia-precompile-0001,uid-0001,,108.626225,92.332291,12886.2,65,baseline,200,183,
eclipse,1,66,1,66,0,julia-precompile-0001,uid-0001,,103.610604,88.069014,13089.0,66,baseline,200,143,
