workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
eclipse,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,146.578539,124.591758,67.7,1,redis,200,219,
eclipse,1,2,1,2,0,julia-precompile-0001,uid-0001,,136.681232,116.179048,242.2,2,redis,200,87,
eclipse,1,3,1,3,0,julia-precompile-0001,uid-0001,,132.898033,112.963328,456.1,3,redis,200,263,
eclipse,1,4,1,4,0,julia-precompile-0001,uid-0001,,126.070436,107.159871,654.5,4,redis,200,136,
eclipse,1,5,1,5,0,julia-precompile-0001,uid-0001,,114.733530,97.523501,875.9,5,redis,200,120,
eclipse,1,6,1,6,0,julia-precompile-0001,uid-0001,,114.670070,97.469559,1034.0,6,redis,200,119,
eclipse,1,7,1,7,0,julia-precompile-0001,uid-0001,,110.376364,93.819910,1238.0,7,redis,200,171,
eclipse,1,8,1,8,0,julia-precompile-0001,uid-0001,,112.250569,95.412983,1460.4,8,redis,200,286,
eclipse,1,9,1,9,0,julia-precompile-0001,uid-0001,,104.988336,89.240086,1692.2,9,redis,200,100,
eclipse,1,10,1,10,0,julia-precompile-0001,uid-0001,,97.081420,82.519207,1882.9,10,redis,200,238,
eclipse,1,11,1,11,0,julia-precompile-0001,uid-0001,,95.323247,81.024760,2007.0,11,redis,200,249,
eclipse,1,12,1,12,0,julia-precompile-0001,uid-0001,,85.035603,72.280262,2228.9,12,redis,200,100,
eclipse,1,13,1,13,0,julia-precompile-0001,uid-0001,,90.931235,77.291550,2445.3,13,redis,200,293,
eclipse,1,14,1,14,0,julia-precompile-0001,uid-0001,,73.654582,62.606395,2637.0,14,redis,200,133,
eclipse,1,15,1,15,0,julia-precompile-0001,uid-0001,,74.821716,63.598459,2807.1,15,redis,200,242,
eclipse,1,16,1,16,0,julia-precompile-0001,uid-0001,,68.907291,58.571197,3072.9,16,redis,200,121,
eclipse,1,17,1,17,0,julia-precompile-0001,uid-0001,,69.203486,58.822963,3268.8,17,redis,200,136,
eclipse,1,18,1,18,0,julia-precompile-0001,uid-0001,,71.477211,60.755629,3484.3,18,redis,200,278,
eclipse,1,19,1,19,0,julia-precompile-0001,uid-0001,,76.897471,65.362851,3640.1,19,redis,200,96,
eclipse,1,20,1,20,0,julia-precompile-0001,uid-0001,,69.146505,58.774529,3894.3,20,redis,200,263,
eclipse,1,21,1,21,0,julia-precompile-0001,uid-0001,,60.964768,51.820053,4091.5,21,redis,200,197,
eclipse,1,22,1,22,0,julia-precompile-0001,uid-0001,,68.577328,58.290729,4214.0,22,redis,200,270,
eclipse,1,23,1,23,0,julia-precompile-0001,uid-0001,,56.393593,47.934554,4489.8,23,redis,200,182,
eclipse,1,24,1,24,0,julia-precompile-0001,uid-0001,,56.789095,48.270731,4699.7,24,redis,200,115,
eclipse,1,25,1,25,0,julia-precompile-0001,uid-0001,,54.426880,46.262848,4811.0,25,redis,200,240,
eclipse,1,26,1,26,0,julia-precompile-0001,uid-0001,,54.920157,46.682134,5068.0,26,redis,200,232,
eclipse,1,27,1,27,0,julia-precompile-0001,uid-0001,,58.103005,49.387555,5252.9,27,redis,200,221,
eclipse,1,28,1,28,0,julia-precompile-0001,uid-0001,,54.111945,45.995153,5401.1,28,redis,200,264,
eclipse,1,29,1,29,0,julia-precompile-0001,uid-0001,,58.724158,49.915534,5676.9,29,redis,200,167,
