workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
h2,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,303.423511,257.909985,67.7,1,baseline,200,219,
h2,1,2,1,2,0,julia-precompile-0001,uid-0001,,292.637172,248.741596,242.2,2,baseline,200,87,
h2,1,3,1,3,0,julia-precompile-0001,uid-0001,,288.896602,245.562112,456.1,3,baseline,200,263,
h2,1,4,1,4,0,julia-precompile-0001,uid-0001,,281.234172,239.049046,654.5,4,baseline,200,136,
h2,1,5,1,5,0,julia-precompile-0001,uid-0001,,267.913110,227.726143,875.9,5,baseline,200,120,
h2,1,6,1,6,0,julia-precompile-0001,uid-0001,,267.892481,227.708608,1034.0,6,baseline,200,119,
h2,1,7,1,7,0,julia-precompile-0001,uid-0001,,262.586330,223.198381,1238.0,7,baseline,200,171,
h2,1,8,1,8,0,julia-precompile-0001,uid-0001,,264.489715,224.816258,1460.4,8,baseline,200,286,
h2,1,9,1,9,0,julia-precompile-0001,uid-0001,,255.253557,216.965524,1692.2,9,baseline,200,100,
h2,1,10,1,10,0,julia-precompile-0001,uid-0001,,245.083038,208.320583,1882.9,10,baseline,200,238,
h2,1,11,1,11,0,julia-precompile-0001,uid-0001,,242.144350,205.822697,2007.0,11,baseline,200,249,
h2,1,12,1,12,0,julia-precompile-0001,uid-0001,,228.836777,194.511260,2228.9,12,baseline,200,100,
h2,1,13,1,13,0,julia-precompile-0001,uid-0001,,234.827882,199.603699,2445.3,13,baseline,200,293,
h2,1,14,1,14,0,julia-precompile-0001,uid-0001,,212.902427,180.967063,2637.0,14,baseline,200,133,
h2,1,15,1,15,0,julia-precompile-0001,uid-0001,,213.010367,181.058812,2807.1,15,baseline,200,242,
h2,1,16,1,16,0,julia-precompile-0001,uid-0001,,204.531222,173.851539,3072.9,16,baseline,200,121,
h2,1,17,1,17,0,julia-precompile-0001,uid-0001,,203.424865,172.911135,3268.8,17,baseline,200,136,
h2,1,18,1,18,0,julia-precompile-0001,uid-0001,,204.620205,173.927174,3484.3,18,baseline,200,278,
h2,1,19,1,19,0,julia-precompile-0001,uid-0001,,209.528067,178.098857,3640.1,19,baseline,200,96,
h2,1,20,1,20,0,julia-precompile-0001,uid-0001,,198.574589,168.788401,3894.3,20,baseline,200,263,
h2,1,21,1,21,0,julia-precompile-0001,uid-0001,,187.055250,158.996963,4091.5,21,baseline,200,197,
h2,1,22,1,22,0,julia-precompile-0001,uid-0001,,194.446562,165.279578,4214.0,22,baseline,200,270,
h2,1,23,1,23,0,julia-precompile-0001,uid-0001,,178.045787,151.338919,4489.8,23,baseline,200,182,
h2,1,24,1,24,0,julia-precompile-0001,uid-0001,,176.709101,150.202736,4699.7,24,baseline,200,115,
h2,1,25,1,25,0,julia-precompile-0001,uid-0001,,172.037288,146.231695,4811.0,25,baseline,200,240,
h2,1,26,1,26,0,julia-precompile-0001,uid-0001,,170.770948,145.155306,5068.0,26,baseline,200,232,
h2,1,27,1,27,0,julia-precompile-0001,uid-0001,,172.715370,146.808065,5252.9,27,baseline,200,221,
h2,1,28,1,28,0,julia-precompile-0001,uid-0001,,166.038435,141.132670,5401.1,28,baseline,200,264,
h2,1,29,1,29,0,julia-precompile-0001,uid-0001,,169.676510,144.225034,5676.9,29,baseline,200,167,
h2,1,30,1,30,0,julia-precompile-0001,uid-0001,,165.149166,140.376791,5843.5,30,baseline,200,196,
h2,1,31,1,31,0,julia-precompile-0001,uid-0001,,163.239447,138.753530,6097.2,31,baseline,200,275,
h2,1,32,1,32,0,julia-precompile-0001,uid-0001,,150.629719,128.035261,6291.3,32,baseline,200,240,
h2,1,33,1,33,0,julia-precompile-0001,uid-0001,,144.740511,123.029434,6415.3,33,baseline,200,275,
h2,1,34,1,34,0,julia-precompile-0001,uid-0001,,152.428643,129.564346,6695.3,34,baseline,200,215,
h2,1,35,1,35,0,julia-precompile-0001,uid-0001,,148.353961,126.100867,6811.2,35,baseline,200,172,
h2,1,36,1,36,0,julia-precompile-0001,uid-0001,,134.408678,114.247377,7083.2,36,baseline,200,158,
h2,1,37,1,37,0,julia-precompile-0001,uid-0001,,135.849057,115.471699,7207.9,37,baseline,200,267,
h2,1,38,1,38,0,julia-precompile-0001,uid-0001,,137.239511,116.653585,7406.9,38,baseline,200,274,
h2,1,39,1,39,0,julia-precompile-0001,uid-0001,,127.058440,107.999674,7694.7,39,baseline,200,122,
h2,1,40,1,40,0,julia-precompile-0001,uid-0001,,126.844335,107.817685,7887.2,40,baseline,200,188,
h2,1,41,1,41,0,julia-precompile-0001,uid-0001,,138.371846,117.616069,8069.0,41,baseline,200,262,
h2,1,42,1,42,0,julia-precompile-0001,uid-0001,,119.359014,101.455162,8299.5,42,baseline,200,246,
h2,1,43,1,43,0,julia-precompile-0001,uid-0001,,110.981396,94.334187,8424.8,43,baseline,200,96,
h2,1,44,1,44,0,julia-precompile-0001,uid-0001,,126.799509,107.779583,8658.8,44,baseline,200,138,
h2,1,45,1,45,0,julia-precompile-0001,uid-0001,,114.684107,97.481491,8805.9,45,baseline,200,97,
h2,1,46,1,46,0,julia-precompile-0001,uid-0001,,112.657170,95.758595,9086.0,46,baseline,200,98,
h2,1,47,1,47,0,julia-precompile-0001,uid-0001,,106.005617,90.104775,9253.9,47,baseline,200,265,
h2,1,48,1,48,0,julia-precompile-0001,uid-0001,,108.254659,92.016460,9457.1,48,baseline,200,201,
h2,1,49,1,49,0,julia-precompile-0001,uid-0001,,106.888147,90.854925,9609.4,49,baseline,200,248,
h2,1,50,1,50,0,julia-precompile-0001,uid-0001,,111.329690,94.630236,9842.4,50,baseline,200,199,
h2,1,51,1,51,0,julia-precompile-0001,uid-0001,,103.865011,88.285259,10064.6,51,baseline,200,95,
h2,1,52,1,52,0,julia-precompile-0001,uid-0001,,99.095645,84.231298,10233.9,52,baseline,200,300,
h2,1,53,1,53,0,julia-precompile-0001,uid-0001,,101.737611,86.476970,10414.0,53,baseline,200,126,
h2,1,54,1,54,0,julia-precompile-0001,uid-0001,,99.341944,84.440653,10625.0,54,baseline,200,99,
h2,1,55,1,55,0,julia-precompile-0001,uid-0001,,83.883719,71.301161,10805.1,55,baseline,200,218,
h2,1,56,1,56,0,julia-precompile-0001,uid-0001,,97.469886,82.849403,11096.9,56,baseline,200,272,
h2,1,57,1,57,0,julia-precompile-0001,uid-0001,,93.685338,79.632537,11221.4,57,baseline,200,182,
h2,1,58,1,58,0,julia-precompile-0001,uid-0001,,86.963631,73.919086,11416.5,58,baseline,200,80,
h2,1,59,1,59,0,julia-precompile-0001,uid-0001,,92.966804,79.021783,11645.5,59,baseline,200,188,
h2,1,60,1,60,0,julia-precompile-0001,uid-0001,,86.250371,73.312816,11873.1,60,baseline,200,280,
h2,1,61,1,61,0,julia-precompile-0001,uid-0001,,76.160132,64.736112,12029.7,61,baseline,200,94,
h2,1,62,1,62,0,julia-precompile-0001,uid-0001,,80.338583,68.287795,12254.2,62,baseline,200,271,
h2,1,63,1,63,0,julia-precompile-0001,uid-0001,,81.391917,69.183130,12491.9,63,baseline,200,215,
h2,1,64,1,64,0,julia-precompile-0001,uid-0001,,82.473199,70.102219,12696.1,64,baseline,200,100,
h2,1,65,1,65,0,julia-precompile-0001,uid-0001,,80.639604,68.543664,12886.2,65,baseline,200,183,
h2,1,66,1,66,0,julia-precompile-0001,uid-0001,,76.107579,64.691442,13089.0,66,baseline,200,143,
h2,1,67,1,67,0,julia-precompile-0001,uid-0001,,75.085940,63.823049,13265.7,67,baseline,200,224,
h2,1,68,1,68,0,julia-precompile-0001,uid-0001,,74.472514,63.301637,13493.5,68,baseline,200,132,
h2,1,69,1,69,0,julia-precompile-0001,uid-0001,,71.496062,60.771653,13613.1,69,baseline,200,245,
h2,1,70,1,70,0,julia-precompile-0001,uid-0001,,68.212439,57.980573,13831.6,70,baseline,200,272,
h2,1,71,1,71,0,julia-precompile-0001,uid-0001,,72.320225,61.472191,14056.3,71,baseline,200,105,
h2,1,72,1,72,0,julia-precompile-0001,uid-0001,,70.063490,59.553967,14221.3,72,baseline,200,147,
h2,1,73,1,73,0,julia-precompile-0001,uid-0001,,72.978463,62.031694,14424.4,73,baseline,200,152,
h2,1,74,1,74,0,julia-precompile-0001,uid-0001,,72.224864,61.391134,14683.4,74,baseline,200,260,
h2,1,75,1,75,0,julia-precompile-0001,uid-0001,,61.435129,52.219860,14852.9,75,baseline,200,250,
h2,1,76,1,76,0,julia-precompile-0001,uid-0001,,82.258772,69.919957,15029.9,76,baseline,200,249,
h2,1,77,1,77,0,julia-precompile-0001,uid-0001,,74.705704,63.499849,15289.0,77,baseline,200,270,
h2,1,78,1,78,0,julia-precompile-0001,uid-0001,,71.355356,60.652053,15427.2,78,baseline,200,234,
h2,1,79,1,79,0,julia-precompile-0001,uid-0001,,64.253273,54.615282,15685.3,79,baseline,200,209,
h2,1,80,1,80,0,julia-precompile-0001,uid-0001,,67.272402,57.181542,15890.5,80,baseline,200,296,
h2,1,81,1,81,0,julia-precompile-0001,uid-0001,,69.080145,58.718123,16004.4,81,baseline,200,165,
h2,1,82,1,82,0,julia-precompile-0001,uid-0001,,62.751646,53.338899,16263.7,82,baseline,200,147,
h2,1,83,1,83,0,julia-precompile-0001,uid-0001,,62.602761,53.212347,16456.1,83,baseline,200,108,
h2,1,84,1,84,0,julia-precompile-0001,uid-0001,,63.816798,54.244278,16688.3,84,baseline,200,118,
