workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
h2,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,109.373892,92.967808,67.7,1,redis,200,219,
h2,1,2,1,2,0,julia-precompile-0001,uid-0001,,101.188978,86.010631,242.2,2,redis,200,87,
h2,1,3,1,3,0,julia-precompile-0001,uid-0001,,99.018451,84.165683,456.1,3,redis,200,263,
h2,1,4,1,4,0,julia-precompile-0001,uid-0001,,93.709610,79.653169,654.5,4,redis,200,136,
h2,1,5,1,5,0,julia-precompile-0001,uid-0001,,83.803015,71.232563,875.9,5,redis,200,120,
h2,1,6,1,6,0,julia-precompile-0001,uid-0001,,85.086571,72.323585,1034.0,6,redis,200,119,
h2,1,7,1,7,0,julia-precompile-0001,uid-0001,,82.061438,69.752222,1238.0,7,redis,200,171,
h2,1,8,1,8,0,julia-precompile-0001,uid-0001,,85.130339,72.360788,1460.4,8,redis,200,286,
h2,1,9,1,9,0,julia-precompile-0001,uid-0001,,78.993229,67.144245,1692.2,9,redis,200,100,
h2,1,10,1,10,0,julia-precompile-0001,uid-0001,,72.145913,61.324026,1882.9,10,redis,200,238,
h2,1,11,1,11,0,julia-precompile-0001,uid-0001,,71.385635,60.677789,2007.0,11,redis,200,249,
h2,1,12,1,12,0,julia-precompile-0001,uid-0001,,62.037771,52.732106,2228.9,12,redis,200,100,
h2,1,13,1,13,0,julia-precompile-0001,uid-0001,,68.818457,58.495688,2445.3,13,redis,200,293,
h2,1,14,1,14,0,julia-precompile-0001,uid-0001,,52.375315,44.519017,2637.0,14,redis,200,133,
h2,1,15,1,15,0,julia-precompile-0001,uid-0001,,54.327420,46.178307,2807.1,15,redis,200,242,
h2,1,16,1,16,0,julia-precompile-0001,uid-0001,,49.152254,41.779416,3072.9,16,redis,200,121,
h2,1,17,1,17,0,julia-precompile-0001,uid-0001,,50.144655,42.622957,3268.8,17,redis,200,136,
h2,1,18,1,18,0,julia-precompile-0001,uid-0001,,53.074043,45.112937,3484.3,18,redis,200,278,
h2,1,19,1,19,0,julia-precompile-0001,uid-0001,,59.111785,50.245017,3640.1,19,redis,200,96,
h2,1,20,1,20,0,julia-precompile-0001,uid-0001,,51.942339,44.150988,3894.3,20,redis,200,263,
h2,1,21,1,21,0,julia-precompile-0001,uid-0001,,44.308259,37.662020,4091.5,21,redis,200,197,
h2,1,22,1,22,0,julia-precompile-0001,uid-0001,,52.436582,44.571094,4214.0,22,redis,200,270,
h2,1,23,1,23,0,julia-precompile-0001,uid-0001,,40.738573,34.627787,4489.8,23,redis,200,182,
h2,1,24,1,24,0,julia-precompile-0001,uid-0001,,41.591516,35.352789,4699.7,24,redis,200,115,
h2,1,25,1,25,0,julia-precompile-0001,uid-0001,,39.660103,33.711087,4811.0,25,redis,200,240,
h2,1,26,1,26,0,julia-precompile-0001,uid-0001,,40.559094,34.475229,5068.0,26,redis,200,232,
h2,1,27,1,27,0,julia-precompile-0001,uid-0001,,44.124028,37.505424,5252.9,27,redis,200,221,
h2,1,28,1,28,0,julia-precompile-0001,uid-0001,,40.492803,34.418883,5401.1,28,redis,200,264,
h2,1,29,1,29,0,julia-precompile-0001,uid-0001,,45.443897,38.627312,5676.9,29,redis,200,167,
h2,1,30,1,30,0,julia-precompile-0001,uid-0001,,43.575295,37.039000,5843.5,30,redis,200,196,
h2,1,31,1,31,0,julia-precompile-0001,uid-0001,,43.871365,37.290660,6097.2,31,redis,200,275,
h2,1,32,1,32,0,julia-precompile-0001,uid-0001,,35.232726,29.947817,6291.3,32,redis,200,240,
h2,1,33,1,33,0,julia-precompile-0001,uid-0001,,32.175265,27.348976,6415.3,33,redis,200,275,
h2,1,34,1,34,0,julia-precompile-0001,uid-0001,,40.411909,34.350123,6695.3,34,redis,200,215,
h2,1,35,1,35,0,julia-precompile-0001,uid-0001,,38.824890,33.001157,6811.2,35,redis,200,172,
h2,1,36,1,36,0,julia-precompile-0001,uid-0001,,28.990189,24.641661,7083.2,36,redis,200,158,
h2,1,37,1,37,0,julia-precompile-0001,uid-0001,,31.953929,27.160840,7207.9,37,redis,200,267,
