workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,356.130095,302.710581,67.7,1,baseline,200,219,
lusearch,1,2,1,2,0,julia-precompile-0001,uid-0001,,344.146124,292.524206,242.2,2,baseline,200,87,
lusearch,1,3,1,3,0,julia-precompile-0001,uid-0001,,339.237492,288.351869,456.1,3,baseline,200,263,
lusearch,1,4,1,4,0,julia-precompile-0001,uid-0001,,330.435839,280.870463,654.5,4,baseline,200,136,
lusearch,1,5,1,5,0,julia-precompile-0001,uid-0001,,316.003682,268.603130,875.9,5,baseline,200,120,
lusearch,1,6,1,6,0,julia-precompile-0001,uid-0001,,314.899391,267.664482,1034.0,6,baseline,200,119,
lusearch,1,7,1,7,0,julia-precompile-0001,uid-0001,,308.536334,262.255884,1238.0,7,baseline,200,171,
lusearch,1,8,1,8,0,julia-precompile-0001,uid-0001,,309.408907,262.997571,1460.4,8,baseline,200,286,
lusearch,1,9,1,9,0,julia-precompile-0001,uid-0001,,299.167390,254.292281,1692.2,9,baseline,200,100,
lusearch,1,10,1,10,0,julia-precompile-0001,uid-0001,,288.016332,244.813883,1882.9,10,baseline,200,238,
lusearch,1,11,1,11,0,julia-precompile-0001,uid-0001,,284.121316,241.503118,2007.0,11,baseline,200,249,
lusearch,1,12,1,12,0,julia-precompile-0001,uid-0001,,269.881026,229.398872,2228.9,12,baseline,200,100,
lusearch,1,13,1,13,0,julia-precompile-0001,uid-0001,,274.962443,233.718076,2445.3,13,baseline,200,293,
lusearch,1,14,1,14,0,julia-precompile-0001,uid-0001,,252.149761,214.327297,2637.0,14,baseline,200,133,
lusearch,1,15,1,15,0,julia-precompile-0001,uid-0001,,251.392379,213.683522,2807.1,15,baseline,200,242,
lusearch,1,16,1,16,0,julia-precompile-0001,uid-0001,,242.069278,205.758886,3072.9,16,baseline,200,121,
lusearch,1,17,1,17,0,julia-precompile-0001,uid-0001,,240.139801,204.118831,3268.8,17,baseline,200,136,
lusearch,1,18,1,18,0,julia-precompile-0001,uid-0001,,240.532344,204.452492,3484.3,18,baseline,200,278,
lusearch,1,19,1,19,0,julia-precompile-0001,uid-0001,,244.657230,207.958646,3640.1,19,baseline,200,96,
lusearch,1,20,1,20,0,julia-precompile-0001,uid-0001,,232.940109,197.999092,3894.3,20,baseline,200,263,
lusearch,1,21,1,21,0,julia-precompile-0001,uid-0001,,220.675980,187.574583,4091.5,21,baseline,200,197,
lusearch,1,22,1,22,0,julia-precompile-0001,uid-0001,,227.340892,193.239759,4214.0,22,baseline,200,270,
lusearch,1,23,1,23,0,julia-precompile-0001,uid-0001,,210.231652,178.696904,4489.8,23,baseline,200,182,
lusearch,1,24,1,24,0,julia-precompile-0001,uid-0001,,208.203992,176.973393,4699.7,24,baseline,200,115,
lusearch,1,25,1,25,0,julia-precompile-0001,uid-0001,,202.858266,172.429526,4811.0,25,baseline,200,240,
lusearch,1,26,1,26,0,julia-precompile-0001,uid-0001,,200.934652,170.794454,5068.0,26,baseline,200,232,
lusearch,1,27,1,27,0,julia-precompile-0001,uid-0001,,202.238027,171.902323,5252.9,27,baseline,200,221,
lusearch,1,28,1,28,0,julia-precompile-0001,uid-0001,,194.935874,165.695493,5401.1,28,baseline,200,264,
lusearch,1,29,1,29,0,julia-precompile-0001,uid-0001,,197.964167,168.269542,5676.9,29,baseline,200,167,
lusearch,1,30,1,30,0,julia-precompile-0001,uid-0001,,192.842097,163.915782,5843.5,30,baseline,200,196,
lusearch,1,31,1,31,0,julia-precompile-0001,uid-0001,,190.352335,161.799485,6097.2,31,baseline,200,275,
lusearch,1,32,1,32,0,julia-precompile-0001,uid-0001,,177.176886,150.600353,6291.3,32,baseline,200,240,
lusearch,1,33,1,33,0,julia-precompile-0001,uid-0001,,170.735924,145.125535,6415.3,33,baseline,200,275,
lusearch,1,34,1,34,0,julia-precompile-0001,uid-0001,,177.885925,151.203036,6695.3,34,baseline,200,215,
lusearch,1,35,1,35,0,julia-precompile-0001,uid-0001,,173.286399,147.293439,6811.2,35,baseline,200,172,
lusearch,1,36,1,36,0,julia-precompile-0001,uid-0001,,158.829231,135.004846,7083.2,36,baseline,200,158,
lusearch,1,37,1,37,0,julia-precompile-0001,uid-0001,,159.770363,135.804808,7207.9,37,baseline,200,267,
lusearch,1,38,1,38,0,julia-precompile-0001,uid-0001,,160.673896,136.572812,7406.9,38,baseline,200,274,
lusearch,1,39,1,39,0,julia-precompile-0001,uid-0001,,150.017926,127.515237,7694.7,39,baseline,200,122,
lusearch,1,40,1,40,0,julia-precompile-0001,uid-0001,,149.340648,126.939551,7887.2,40,baseline,200,188,
lusearch,1,41,1,41,0,julia-precompile-0001,uid-0001,,160.416421,136.353958,8069.0,41,baseline,200,262,
lusearch,1,42,1,42,0,julia-precompile-0001,uid-0001,,140.963004,119.818554,8299.5,42,baseline,200,246,
lusearch,1,43,1,43,0,julia-precompile-0001,uid-0001,,132.155681,112.332329,8424.8,43,baseline,200,96,
lusearch,1,44,1,44,0,julia-precompile-0001,uid-0001,,147.554697,125.421493,8658.8,44,baseline,200,138,
lusearch,1,45,1,45,0,julia-precompile-0001,uid-0001,,135.030546,114.775964,8805.9,45,baseline,200,97,
lusearch,1,46,1,46,0,julia-precompile-0001,uid-0001,,132.604953,112.714210,9086.0,46,baseline,200,98,
lusearch,1,47,1,47,0,julia-precompile-0001,uid-0001,,125.564585,106.729897,9253.9,47,baseline,200,265,
lusearch,1,48,1,48,0,julia-precompile-0001,uid-0001,,127.434412,108.319251,9457.1,48,baseline,200,201,
lusearch,1,49,1,49,0,julia-precompile-0001,uid-0001,,125.698049,106.843342,9609.4,49,baseline,200,248,
lusearch,1,50,1,50,0,julia-precompile-0001,uid-0001,,129.778872,110.312041,9842.4,50,baseline,200,199,
lusearch,1,51,1,51,0,julia-precompile-0001,uid-0001,,121.962380,103.668023,10064.6,51,baseline,200,95,
lusearch,1,52,1,52,0,julia-precompile-0001,uid-0001,,116.849887,99.322404,10233.9,52,baseline,200,300,
lusearch,1,53,1,53,0,julia-precompile-0001,uid-0001,,119.157198,101.283618,10414.0,53,baseline,200,126,
lusearch,1,54,1,54,0,julia-precompile-0001,uid-0001,,116.435138,98.969867,10625.0,54,baseline,200,99,
lusearch,1,55,1,55,0,julia-precompile-0001,uid-0001,,100.658579,85.559792,10805.1,55,baseline,200,218,
lusearch,1,56,1,56,0,julia-precompile-0001,uid-0001,,113.934271,96.844130,11096.9,56,baseline,200,272,
lusearch,1,57,1,57,0,julia-precompile-0001,uid-0001,,109.846915,93.369877,11221.4,57,baseline,200,182,
lusearch,1,58,1,58,0,julia-precompile-0001,uid-0001,,102.829875,87.405394,11416.5,58,baseline,200,80,
lusearch,1,59,1,59,0,julia-precompile-0001,uid-0001,,108.545007,92.263256,11645.5,59,baseline,200,188,
lusearch,1,60,1,60,0,julia-precompile-0001,uid-0001,,101.547646,86.315499,11873.1,60,baseline,200,280,
lusearch,1,61,1,61,0,julia-precompile-0001,uid-0001,,91.183414,77.505902,12029.7,61,baseline,200,94,
lusearch,1,62,1,62,0,julia-precompile-0001,uid-0001,,95.094637,80.830441,12254.2,62,baseline,200,271,
lusearch,1,63,1,63,0,julia-precompile-0001,uid-0001,,95.887342,81.504240,12491.9,63,baseline,200,215,
lusearch,1,64,1,64,0,julia-precompile-0001,uid-0001,,96.714428,82.207264,12696.1,64,baseline,200,100,
lusearch,1,65,1,65,0,julia-precompile-0001,uid-0001,,94.632915,80.437977,12886.2,65,baseline,200,183,
lusearch,1,66,1,66,0,julia-precompile-0001,uid-0001,,89.859092,76.380228,13089.0,66,baseline,200,143,
lusearch,1,67,1,67,0,julia-precompile-0001,uid-0001,,88.601625,75.311382,13265.7,67,baseline,200,224,
lusearch,1,68,1,68,0,julia-precompile-0001,uid-0001,,87.758194,74.594465,13493.5,68,baseline,200,132,
lusearch,1,69,1,69,0,julia-precompile-0001,uid-0001,,84.557416,71.873803,13613.1,69,baseline,200,245,
lusearch,1,70,1,70,0,julia-precompile-0001,uid-0001,,81.055005,68.896754,13831.6,70,baseline,200,272,
lusearch,1,71,1,71,0,julia-precompile-0001,uid-0001,,84.949405,72.206995,14056.3,71,baseline,200,105,
lusearch,1,72,1,72,0,julia-precompile-0001,uid-0001,,82.484553,70.111870,14221.3,72,baseline,200,147,
