workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,1,1,1,1,1,julia-precompile-0001,uid-0001,6682.4,127.976216,108.779783,67.7,1,redis,200,219,
lusearch,1,2,1,2,0,julia-precompile-0001,uid-0001,,118.935105,101.094839,242.2,2,redis,200,87,
lusearch,1,3,1,3,0,julia-precompile-0001,uid-0001,,115.958242,98.564506,456.1,3,redis,200,263,
lusearch,1,4,1,4,0,julia-precompile-0001,uid-0001,,109.890023,93.406520,654.5,4,redis,200,136,
lusearch,1,5,1,5,0,julia-precompile-0001,uid-0001,,99.268273,84.378032,875.9,5,redis,200,120,
lusearch,1,6,1,6,0,julia-precompile-0001,uid-0001,,99.878320,84.896572,1034.0,6,redis,200,119,
lusearch,1,7,1,7,0,julia-precompile-0001,uid-0001,,96.218901,81.786066,1238.0,7,redis,200,171,
lusearch,1,8,1,8,0,julia-precompile-0001,uid-0001,,98.690454,83.886886,1460.4,8,redis,200,286,
lusearch,1,9,1,9,0,julia-precompile-0001,uid-0001,,91.990783,78.192165,1692.2,9,redis,200,100,
lusearch,1,10,1,10,0,julia-precompile-0001,uid-0001,,84.613667,71.921617,1882.9,10,redis,200,238,
lusearch,1,11,1,11,0,julia-precompile-0001,uid-0001,,83.354441,70.851275,2007.0,11,redis,200,249,
lusearch,1,12,1,12,0,julia-precompile-0001,uid-0001,,73.536687,62.506184,2228.9,12,redis,200,100,
lusearch,1,13,1,13,0,julia-precompile-0001,uid-0001,,79.874846,67.893619,2445.3,13,redis,200,293,
lusearch,1,14,1,14,0,julia-precompile-0001,uid-0001,,63.014948,53.562706,2637.0,14,redis,200,133,
lusearch,1,15,1,15,0,julia-precompile-0001,uid-0001,,64.574568,54.888383,2807.1,15,redis,200,242,
lusearch,1,16,1,16,0,julia-precompile-0001,uid-0001,,59.029772,50.175306,3072.9,16,redis,200,121,
lusearch,1,17,1,17,0,julia-precompile-0001,uid-0001,,59.674071,50.722960,3268.8,17,redis,200,136,
