workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,1,1,1,1,1,julia-precompile-757cbbccb-7mf5m,unknown,3878.216708,689.233667,22.942978,2354.292154,1,redis,200,196,
lusearch,1,2,1,2,0,julia-precompile-757cbbccb-7mf5m,unknown,,5.518167,1.222226,2377.315044,2,redis,200,195,
lusearch,1,3,1,3,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.904042,1.170682,2382.529020,3,redis,200,196,
lusearch,1,4,1,4,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.745125,1.259435,2387.385130,4,redis,200,195,
lusearch,1,5,1,5,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.679834,1.421443,2392.186165,5,redis,200,195,
lusearch,1,6,1,6,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.576000,1.400067,2396.856070,6,redis,200,196,
lusearch,1,7,1,7,0,julia-precompile-757cbbccb-7mf5m,unknown,,6.297750,1.417235,2403.175116,7,redis,200,195,
lusearch,1,8,1,8,0,julia-precompile-757cbbccb-7mf5m,unknown,,10.548334,6.918541,2413.437128,8,redis,200,196,
lusearch,1,9,1,9,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.656917,1.151139,2418.632984,9,redis,200,195,
lusearch,1,10,1,10,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.549584,1.237101,2423.185110,10,redis,200,196,
lusearch,1,11,1,11,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.118000,1.164472,2427.391052,11,redis,200,197,
lusearch,1,12,1,12,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.310750,1.188557,2431.740999,12,redis,200,197,
lusearch,1,13,1,13,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.337792,1.153639,2436.161041,13,redis,200,197,
lusearch,1,14,1,14,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.265459,1.168056,2440.347195,14,redis,200,196,
lusearch,1,15,1,15,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.198459,1.135930,2444.707155,15,redis,200,195,
lusearch,1,16,1,16,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.294542,1.165764,2449.130058,16,redis,200,196,
lusearch,1,17,1,17,0,julia-precompile-757cbbccb-7mf5m,unknown,,3.926959,1.153472,2453.197002,17,redis,200,197,
lusearch,1,18,1,18,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.184833,1.184432,2457.267046,18,redis,200,197,
lusearch,1,19,1,19,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.287834,1.140763,2461.695194,19,redis,200,197,
lusearch,1,20,1,20,0,julia-precompile-757cbbccb-7mf5m,unknown,,4.016292,1.149347,2465.725183,20,redis,200,197,
lusearch,1,21,2,1,1,julia-precompile-757cbbccb-2xnxs,unknown,3224.681500,652.649875,23.979486,2575.728893,1,redis,200,197,
lusearch,1,22,2,2,0,julia-precompile-757cbbccb-2xnxs,unknown,,7.217125,1.226726,2602.235794,2,redis,200,195,
lusearch,1,23,2,3,0,julia-precompile-757cbbccb-2xnxs,unknown,,6.349667,1.207225,2608.842850,3,redis,200,196,
lusearch,1,24,2,4,0,julia-precompile-757cbbccb-2xnxs,unknown,,5.396458,1.274978,2614.815950,4,redis,200,196,
lusearch,1,25,2,5,0,julia-precompile-757cbbccb-2xnxs,unknown,,36.649667,1.719625,2630.227804,5,redis,200,194,
lusearch,1,26,2,6,0,julia-precompile-757cbbccb-2xnxs,unknown,,70.054666,3.972565,2709.325790,6,redis,200,196,
lusearch,1,27,2,7,0,julia-precompile-757cbbccb-2xnxs,unknown,,43.075000,3.276741,2762.453794,7,redis,200,194,
lusearch,1,28,2,8,0,julia-precompile-757cbbccb-2xnxs,unknown,,34.912667,15.195813,2793.913841,8,redis,200,197,
lusearch,1,29,2,9,0,julia-precompile-757cbbccb-2xnxs,unknown,,22.196375,2.794176,2815.087795,9,redis,200,196,
lusearch,1,30,2,10,0,julia-precompile-757cbbccb-2xnxs,unknown,,17.948000,4.291998,2836.843967,10,redis,200,196,
lusearch,1,31,2,11,0,julia-precompile-757cbbccb-2xnxs,unknown,,23.773250,2.948184,2854.488850,11,redis,200,197,
lusearch,1,32,2,12,0,julia-precompile-757cbbccb-2xnxs,unknown,,50.887250,1.276687,2912.519932,12,redis,200,196,
lusearch,1,33,2,13,0,julia-precompile-757cbbccb-2xnxs,unknown,,43.354000,2.781008,2957.781792,13,redis,200,197,
lusearch,1,34,2,14,0,julia-precompile-757cbbccb-2xnxs,unknown,,9.023000,1.399567,2967.550993,14,redis,200,197,
lusearch,1,35,2,15,0,julia-precompile-757cbbccb-2xnxs,unknown,,9.158875,1.982179,2977.075815,15,redis,200,197,
lusearch,1,36,2,16,0,julia-precompile-757cbbccb-2xnxs,unknown,,10.819625,1.696582,2988.288879,16,redis,200,197,
lusearch,1,37,2,17,0,julia-precompile-757cbbccb-2xnxs,unknown,,8.279375,1.291646,2996.600866,17,redis,200,196,
lusearch,1,38,2,18,0,julia-precompile-757cbbccb-2xnxs,unknown,,7.967334,1.241518,3005.424023,18,redis,200,197,
lusearch,1,39,2,19,0,julia-precompile-757cbbccb-2xnxs,unknown,,5.552292,1.220892,3011.329889,19,redis,200,197,
lusearch,1,40,2,20,0,julia-precompile-757cbbccb-2xnxs,unknown,,5.721000,1.240059,3017.089844,20,redis,200,192,
lusearch,1,41,3,1,1,julia-precompile-757cbbccb-v4f4q,unknown,2958.048042,669.111042,23.455753,2341.648102,1,redis,200,197,
lusearch,1,42,3,2,0,julia-precompile-757cbbccb-v4f4q,unknown,,8.306667,1.312480,2367.436171,2,redis,200,194,
lusearch,1,43,3,3,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.803875,1.203266,2372.853041,3,redis,200,196,
lusearch,1,44,3,4,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.308625,1.195016,2377.489090,4,redis,200,196,
lusearch,1,45,3,5,0,julia-precompile-757cbbccb-v4f4q,unknown,,5.254625,1.483613,2382.491112,5,redis,200,195,
lusearch,1,46,3,6,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.920375,1.349148,2387.689114,6,redis,200,196,
lusearch,1,47,3,7,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.539917,1.385941,2392.421961,7,redis,200,196,
lusearch,1,48,3,8,0,julia-precompile-757cbbccb-v4f4q,unknown,,10.329083,6.770284,2402.140141,8,redis,200,196,
lusearch,1,49,3,9,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.598958,1.165347,2407.386065,9,redis,200,195,
lusearch,1,50,3,10,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.281708,1.163848,2411.666155,10,redis,200,195,
lusearch,1,51,3,11,0,julia-precompile-757cbbccb-v4f4q,unknown,,3.967041,1.140097,2415.889025,11,redis,200,196,
lusearch,1,52,3,12,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.196625,1.168306,2420.011997,12,redis,200,197,
lusearch,1,53,3,13,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.184792,1.167431,2424.260139,13,redis,200,196,
lusearch,1,54,3,14,0,julia-precompile-757cbbccb-v4f4q,unknown,,4.310541,1.171598,2428.775072,14,redis,200,197,
