workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
eclipse,2,1,1,1,1,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,33319.531916,4856.116541,102.423415,36289.404869,1,populate,200,300,
eclipse,2,2,1,2,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.126416,12.521114,36331.457853,2,populate,200,299,
eclipse,2,3,1,3,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,20.143750,14.076618,36352.225065,3,populate,200,299,
eclipse,2,4,1,4,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,20.177834,14.662150,36372.120857,4,populate,200,298,
eclipse,2,5,1,5,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.752875,14.881329,36392.569065,5,populate,200,300,
eclipse,2,6,1,6,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,20.862958,15.427276,36413.511038,6,populate,200,299,
eclipse,2,7,1,7,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,27.155833,22.536839,36440.659046,7,populate,200,300,
eclipse,2,8,1,8,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,21.243166,12.842632,36461.672068,8,populate,200,299,
eclipse,2,9,1,9,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.354125,13.694180,36481.169939,9,populate,200,298,
eclipse,2,10,1,10,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,21.378708,15.492072,36502.497911,10,populate,200,300,
eclipse,2,11,1,11,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,23.941542,15.293602,36525.619984,11,populate,200,301,
eclipse,2,12,1,12,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,23.054042,15.742378,36549.957037,12,populate,200,301,
eclipse,2,13,1,13,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,38.851250,31.855692,36588.229895,13,populate,200,300,
eclipse,2,14,1,14,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,25.264917,15.376523,36614.130974,14,populate,200,300,
eclipse,2,15,1,15,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,22.872500,15.576284,36637.524843,15,populate,200,300,
eclipse,2,16,1,16,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,25.786041,17.573563,36661.341906,16,populate,200,300,
eclipse,2,17,1,17,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,36.528792,22.258990,36699.712992,17,populate,200,299,
eclipse,2,18,1,18,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,22.998792,14.690568,36723.535061,18,populate,200,300,
eclipse,2,19,1,19,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,24.858042,19.420205,36748.431921,19,populate,200,300,
eclipse,2,20,1,20,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.395208,13.940483,36767.657995,20,populate,200,298,
eclipse,2,21,1,21,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.667000,13.850187,36787.014961,21,populate,200,301,
eclipse,2,22,1,22,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.995042,13.987527,36805.809021,22,populate,200,301,
eclipse,2,23,1,23,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.143750,13.662093,36824.688911,23,populate,200,300,
eclipse,2,24,1,24,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,20.117583,13.886188,36843.587875,24,populate,200,300,
eclipse,2,25,1,25,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.615917,13.806767,36864.430904,25,populate,200,300,
eclipse,2,26,1,26,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,23.910083,18.986597,36888.113976,26,populate,200,299,
eclipse,2,27,1,27,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.250041,14.526765,36908.015966,27,populate,200,301,
eclipse,2,28,1,28,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.146042,13.756015,36926.339865,28,populate,200,301,
eclipse,2,29,1,29,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,21.732167,14.017612,36948.200941,29,populate,200,301,
eclipse,2,30,1,30,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.644542,14.107493,36966.917038,30,populate,200,300,
eclipse,2,31,1,31,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,19.290333,14.863035,36986.108065,31,populate,200,300,
eclipse,2,32,1,32,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,26.255959,20.673274,37011.744976,32,populate,200,299,
eclipse,2,33,1,33,0,julia-precompile-59d4c8459c-nfcqp,ea17bffe-1ba2-4270-bc6b-99090144099b,,18.249792,13.542087,37031.084061,33,populate,200,301,
