workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
eclipse,2,1,1,1,1,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,33345.467792,3722.419666,90.098720,35339.353085,1,redis,200,292,
eclipse,2,2,1,2,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,31.753000,26.345311,35401.966095,2,redis,200,292,
eclipse,2,3,1,3,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,24.175000,19.455387,35426.531076,3,redis,200,294,
eclipse,2,4,1,4,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,28.465875,24.221671,35454.972029,4,redis,200,292,
eclipse,2,5,1,5,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,23.527042,18.780883,35478.646040,5,redis,200,293,
eclipse,2,6,1,6,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,28.999541,24.734425,35507.837057,6,redis,200,293,
eclipse,2,7,1,7,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.312417,10.410907,35522.304058,7,redis,200,293,
eclipse,2,8,1,8,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.182084,10.342281,35536.649942,8,redis,200,293,
eclipse,2,9,1,9,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.780250,10.618575,35551.289082,9,redis,200,294,
eclipse,2,10,1,10,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.701166,11.067245,35567.267895,10,redis,200,294,
eclipse,2,11,1,11,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.798417,11.143787,35582.993984,11,redis,200,294,
eclipse,2,12,1,12,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,26.004542,19.304262,35607.805014,12,redis,200,295,
eclipse,2,13,1,13,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,39.939917,10.925660,35628.132105,13,redis,200,293,
eclipse,2,14,1,14,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,24.586125,17.616541,35673.963070,14,redis,200,294,
eclipse,2,15,1,15,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.585208,11.290580,35689.919949,15,redis,200,293,
eclipse,2,16,1,16,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,16.061083,10.954827,35706.150055,16,redis,200,294,
eclipse,2,17,1,17,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.298708,10.384240,35720.716000,17,redis,200,293,
eclipse,2,18,1,18,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.031125,10.859160,35735.810041,18,redis,200,293,
eclipse,2,19,1,19,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,18.820666,14.881189,35754.683018,19,redis,200,294,
eclipse,2,20,1,20,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.882417,10.701243,35769.122124,20,redis,200,294,
eclipse,2,21,1,21,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.816542,10.382657,35785.552979,21,redis,200,295,
eclipse,2,22,1,22,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,17.746833,11.004911,35800.465107,22,redis,200,294,
eclipse,2,23,1,23,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,17.557333,10.545157,35818.048000,23,redis,200,294,
eclipse,2,24,1,24,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.164791,10.382282,35835.489035,24,redis,200,294,
eclipse,2,25,1,25,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,19.569667,14.836105,35855.647087,25,redis,200,294,
eclipse,2,26,1,26,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.229959,10.258531,35870.332003,26,redis,200,294,
eclipse,2,27,1,27,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,16.586291,10.294447,35884.527922,27,redis,200,295,
eclipse,2,28,1,28,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.243458,10.367989,35901.406050,28,redis,200,294,
eclipse,2,29,1,29,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.846625,10.702950,35915.843964,29,redis,200,293,
eclipse,2,30,1,30,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.720375,10.822284,35931.905031,30,redis,200,294,
eclipse,2,31,1,31,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.261208,10.417240,35946.720123,31,redis,200,294,
eclipse,2,32,1,32,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,29.839542,14.309392,35964.562893,32,redis,200,294,
eclipse,2,33,1,33,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.386125,10.149780,35990.889072,33,redis,200,293,
eclipse,2,34,1,34,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,26.118083,21.659778,36016.885042,34,redis,200,294,
eclipse,2,35,1,35,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.983292,11.298704,36032.979012,35,redis,200,295,
eclipse,2,36,1,36,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,24.755333,10.949953,36048.271894,36,redis,200,295,
eclipse,2,37,1,37,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,19.785375,10.879452,36073.647976,37,redis,200,294,
eclipse,2,38,1,38,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,30.800667,14.616853,36109.048128,38,redis,200,294,
eclipse,2,39,1,39,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,40.357833,10.682992,36124.470949,39,redis,200,294,
eclipse,2,40,1,40,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,23.088917,12.932549,36172.641039,40,redis,200,294,
eclipse,2,41,1,41,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,16.130791,11.309996,36188.949108,41,redis,200,294,
eclipse,2,42,1,42,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.058667,10.953493,36204.492092,42,redis,200,294,
eclipse,2,43,1,43,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,16.475250,12.151252,36220.771074,43,redis,200,295,
eclipse,2,44,1,44,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.027875,10.980286,36236.129999,44,redis,200,294,
eclipse,2,45,1,45,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,20.251584,15.964488,36256.232023,45,redis,200,295,
eclipse,2,46,1,46,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.727167,10.934410,36271.245003,46,redis,200,293,
eclipse,2,47,1,47,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.106667,10.424990,36285.671949,47,redis,200,292,
eclipse,2,48,1,48,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,15.030292,10.523199,36299.813032,48,redis,200,294,
eclipse,2,49,1,49,0,julia-precompile-7b99b44555-g729t,4583ba1c-f51a-47b4-b363-cf2bacd98fe9,,14.709959,10.927076,36315.622091,49,redis,200,295,
