workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,1,1,1,1,1,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,31673.367500,1186.104542,24.765142,31788.854122,1,populate,200,237,
lusearch,1,2,1,2,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,7.816875,1.250680,31814.109087,2,populate,200,235,
lusearch,1,3,1,3,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,7.126000,1.223388,31821.796894,3,populate,200,236,
lusearch,1,4,1,4,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,5.928875,1.429551,31828.354120,4,populate,200,236,
lusearch,1,5,1,5,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,7.523084,1.605171,31835.450888,5,populate,200,236,
lusearch,1,6,1,6,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,6.496084,1.453217,31842.442036,6,populate,200,235,
lusearch,1,7,1,7,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,17.544334,10.735339,31859.313011,7,populate,200,237,
lusearch,1,8,1,8,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,6.415333,1.217097,31866.739988,8,populate,200,236,
lusearch,1,9,1,9,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,12.592833,4.897388,31877.799034,9,populate,200,236,
lusearch,1,10,1,10,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,10.653833,2.644023,31889.559984,10,populate,200,237,
lusearch,1,11,1,11,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,6.464417,1.526382,31896.032095,11,populate,200,237,
lusearch,1,12,1,12,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,9.294917,1.543756,31905.436993,12,populate,200,237,
lusearch,1,13,1,13,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,9.120000,1.864541,31914.947033,13,populate,200,237,
lusearch,1,14,1,14,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,6.644792,1.319553,31922.128916,14,populate,200,237,
lusearch,1,15,1,15,0,julia-precompile-58f44fd5df-lfvq5,5fdff44d-85ff-4e01-a5e5-b26db2a2902e,,10.830167,1.447342,31930.254936,15,populate,200,236,
