workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
matrix,1,1,1,1,1,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,33191.308417,2349.653375,31.343991,34322.487116,1,baseline,200,360,
matrix,1,2,1,2,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.697750,0.736337,34349.114180,2,baseline,200,359,
matrix,1,3,1,3,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.153500,0.712587,34354.540110,3,baseline,200,357,
matrix,1,4,1,4,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.279084,0.730129,34359.862089,4,baseline,200,359,
matrix,1,5,1,5,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.356083,0.830296,34365.262032,5,baseline,200,359,
matrix,1,6,1,6,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.062583,0.807545,34370.625019,6,baseline,200,359,
matrix,1,7,1,7,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,6.340042,1.310548,34376.995087,7,baseline,200,358,
matrix,1,8,1,8,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.895709,1.439049,34383.153200,8,baseline,200,359,
matrix,1,9,1,9,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,8.562000,0.828254,34391.427040,9,baseline,200,357,
matrix,1,10,1,10,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.632209,0.924880,34397.146225,10,baseline,200,359,
matrix,1,11,1,11,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,8.314500,0.864713,34405.560017,11,baseline,200,359,
matrix,1,12,1,12,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,8.389000,1.207298,34413.341999,12,baseline,200,360,
matrix,1,13,1,13,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.359666,0.826213,34419.541121,13,baseline,200,360,
matrix,1,14,1,14,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.184875,0.979963,34424.703121,14,baseline,200,358,
matrix,1,15,1,15,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,6.518209,0.922172,34431.186199,15,baseline,200,359,
matrix,1,16,1,16,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,6.246708,0.797921,34437.813044,16,baseline,200,359,
matrix,1,17,1,17,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,8.608916,3.279891,34446.376085,17,baseline,200,359,
matrix,1,18,1,18,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.205000,0.823712,34451.715231,18,baseline,200,359,
matrix,1,19,1,19,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,4.344041,0.722045,34456.398010,19,baseline,200,360,
matrix,1,20,1,20,0,julia-precompile-6576c7d84b-b75pm,dbc11d87-cfcd-42cb-98c3-538d6633fbc6,,5.848959,0.764087,34462.015152,20,baseline,200,359,
matrix,1,21,2,1,1,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,32669.795666,2270.257959,1.510841,34080.928087,1,baseline,200,357,
matrix,1,22,2,2,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.665834,0.718670,34107.923031,2,baseline,200,357,
matrix,1,23,2,3,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.646708,0.721879,34113.667011,3,baseline,200,359,
matrix,1,24,2,4,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.771000,0.898796,34119.758129,4,baseline,200,358,
matrix,1,25,2,5,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.039750,0.739129,34124.753952,5,baseline,200,358,
matrix,1,26,2,6,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.407583,0.756129,34130.290031,6,baseline,200,359,
matrix,1,27,2,7,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,4.639542,0.761170,34135.267019,7,baseline,200,357,
matrix,1,28,2,8,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.518292,0.948797,34140.805006,8,baseline,200,358,
matrix,1,29,2,9,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.066334,0.707211,34145.987988,9,baseline,200,358,
matrix,1,30,2,10,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.770333,1.082588,34151.456118,10,baseline,200,360,
matrix,1,31,2,11,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,4.774500,0.803045,34156.697989,11,baseline,200,359,
matrix,1,32,2,12,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.208833,1.075339,34161.818027,12,baseline,200,359,
matrix,1,33,2,13,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,4.564708,0.809587,34166.615963,13,baseline,200,359,
matrix,1,34,2,14,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,4.588250,0.789129,34171.205044,14,baseline,200,360,
matrix,1,35,2,15,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.680375,0.747253,34176.840067,15,baseline,200,359,
matrix,1,36,2,16,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,5.566750,0.827088,34182.428122,16,baseline,200,359,
matrix,1,37,2,17,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,4.057875,0.728546,34186.954975,17,baseline,200,360,
matrix,1,38,2,18,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,3.634375,0.800879,34190.593958,18,baseline,200,357,
matrix,1,39,2,19,0,julia-precompile-6576c7d84b-2z5hn,0310166c-1cfb-4898-830d-c3f5ab058c2e,,3.872542,0.823296,34194.421053,19,baseline,200,359,
