workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
matrix,1,1,1,1,1,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,33195.345833,2309.700208,1.377174,33845.411062,1,populate,200,357,
matrix,1,2,1,2,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.756042,0.716087,33867.300034,2,populate,200,359,
matrix,1,3,1,3,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.139750,0.675712,33871.517181,3,populate,200,359,
matrix,1,4,1,4,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.112333,0.680254,33875.774145,4,populate,200,358,
matrix,1,5,1,5,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,5.169958,1.276382,33880.666018,5,populate,200,358,
matrix,1,6,1,6,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.871917,0.733504,33884.891033,6,populate,200,358,
matrix,1,7,1,7,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.743292,0.861755,33888.806105,7,populate,200,359,
matrix,1,8,1,8,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,5.145625,0.713295,33893.377066,8,populate,200,358,
matrix,1,9,1,9,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.595041,1.049506,33898.513079,9,populate,200,359,
matrix,1,10,1,10,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.953833,0.762837,33902.665138,10,populate,200,359,
matrix,1,11,1,11,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.891125,0.844421,33906.469107,11,populate,200,360,
matrix,1,12,1,12,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.885750,0.775379,33911.497116,12,populate,200,359,
matrix,1,13,1,13,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.863542,0.745503,33915.470123,13,populate,200,360,
matrix,1,14,1,14,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.531625,0.711212,33918.972969,14,populate,200,360,
matrix,1,15,1,15,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.390833,0.913005,33923.505068,15,populate,200,359,
matrix,1,16,1,16,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.524417,0.654587,33926.990986,16,populate,200,359,
matrix,1,17,1,17,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,5.252875,0.715254,33932.195187,17,populate,200,359,
matrix,1,18,1,18,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.410459,0.659336,33935.899019,18,populate,200,359,
matrix,1,19,1,19,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.921292,0.680296,33939.821005,19,populate,200,360,
matrix,1,20,1,20,0,julia-precompile-67df6f94b4-z2tqh,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.517042,0.737337,33943.463087,20,populate,200,359,
