workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
matrix,1,1,1,1,1,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,32415.254750,2919.105167,1.551008,34335.354805,1,redis,200,353,
matrix,1,2,1,2,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,5.642375,0.702921,34359.498978,2,redis,200,352,
matrix,1,3,1,3,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,4.820625,0.698920,34364.593983,3,redis,200,351,
matrix,1,4,1,4,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,5.138708,0.788213,34369.686842,4,redis,200,352,
matrix,1,5,1,5,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,4.590583,0.935463,34374.397993,5,redis,200,352,
matrix,1,6,1,6,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,6.224375,0.847838,34380.586863,6,redis,200,352,
matrix,1,7,1,7,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,8.230458,0.943130,34386.893988,7,redis,200,351,
matrix,1,8,1,8,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,6.468000,0.846546,34395.059824,8,redis,200,352,
matrix,1,9,1,9,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,6.858042,1.249506,34402.309895,9,redis,200,352,
matrix,1,10,1,10,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,8.306834,1.082505,34409.535885,10,redis,200,353,
matrix,1,11,1,11,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,10.192208,0.926047,34420.910835,11,redis,200,353,
matrix,1,12,1,12,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,6.627833,0.755213,34427.918911,12,redis,200,354,
matrix,1,13,1,13,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,13.887542,0.861213,34441.128969,13,redis,200,354,
matrix,1,14,1,14,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,9.705042,1.565675,34450.950861,14,redis,200,353,
matrix,1,15,1,15,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,6.892250,0.769129,34458.812952,15,redis,200,354,
matrix,1,16,1,16,0,julia-precompile-5589966cd-d9grl,ca6a7b54-1040-4c32-8b44-0f7e18168b98,,5.346416,0.888796,34464.643955,16,redis,200,353,
