workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
regex,1,1,1,1,1,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,32112.211583,2314.963458,2.541429,33521.265030,1,baseline,200,273,
regex,1,2,1,2,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.627250,1.017546,33543.896914,2,baseline,200,273,
regex,1,3,1,3,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.242542,1.027838,33548.268080,3,baseline,200,273,
regex,1,4,1,4,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.988541,1.067339,33552.335978,4,baseline,200,273,
regex,1,5,1,5,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.822792,1.117464,33556.162119,5,baseline,200,273,
regex,1,6,1,6,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.682125,1.171173,33560.534954,6,baseline,200,274,
regex,1,7,1,7,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.789250,1.095964,33564.855099,7,baseline,200,274,
regex,1,8,1,8,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.052833,1.084214,33568.910122,8,baseline,200,274,
regex,1,9,1,9,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.642500,1.135464,33573.630095,9,baseline,200,272,
regex,1,10,1,10,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.393250,1.367757,33577.991962,10,baseline,200,274,
regex,1,11,1,11,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.683500,1.231965,33582.015038,11,baseline,200,274,
regex,1,12,1,12,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.167250,1.135047,33586.055994,12,baseline,200,274,
regex,1,13,1,13,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.737334,1.263173,33590.825081,13,baseline,200,274,
regex,1,14,1,14,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.844333,1.118589,33594.877005,14,baseline,200,274,
regex,1,15,1,15,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.878375,1.105006,33598.760128,15,baseline,200,274,
regex,1,16,1,16,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.849125,1.307048,33602.720022,16,baseline,200,274,
regex,1,17,1,17,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,3.718833,1.211340,33606.528044,17,baseline,200,273,
regex,1,18,1,18,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.023458,1.150172,33610.496998,18,baseline,200,274,
regex,1,19,1,19,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,6.962333,1.186298,33617.028952,19,baseline,200,273,
regex,1,20,1,20,0,julia-precompile-6576c7d84b-6f4wh,eec03750-27a8-4247-b555-b8651e2a773e,,4.608250,1.224382,33621.871948,20,baseline,200,274,
regex,1,21,2,1,1,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,31565.198000,2311.403250,1.296298,33062.227964,1,baseline,200,274,
regex,1,22,2,2,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,4.543750,1.021881,33083.437920,2,baseline,200,272,
regex,1,23,2,3,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,9.100917,1.097881,33090.577126,3,baseline,200,273,
regex,1,24,2,4,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,4.526083,1.056881,33096.957922,4,baseline,200,273,
regex,1,25,2,5,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,4.500834,1.038296,33101.572037,5,baseline,200,274,
regex,1,26,2,6,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,3.946375,1.063505,33105.775118,6,baseline,200,274,
regex,1,27,2,7,0,julia-precompile-6576c7d84b-mtwwp,42c61d8d-f241-4b79-a75d-a5423704da6c,,4.174584,1.054131,33109.910965,7,baseline,200,273,
