workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
regex,1,1,0,1,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,56.631875,2.139428,34099.426031,21,populate,200,274,
regex,1,2,0,2,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.182875,1.045297,34104.324102,22,populate,200,274,
regex,1,3,0,3,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.907834,1.051630,34108.309031,23,populate,200,273,
regex,1,4,0,4,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.295917,1.083672,34112.507105,24,populate,200,274,
regex,1,5,0,5,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,5.489834,1.020006,34116.510153,25,populate,200,274,
regex,1,6,0,6,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,6.397000,1.899469,34124.175072,26,populate,200,274,
regex,1,7,0,7,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.060041,1.053297,34128.813982,27,populate,200,274,
regex,1,8,0,8,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.117875,1.023422,34132.897139,28,populate,200,274,
regex,1,9,0,9,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.536292,1.001088,34136.618137,29,populate,200,274,
regex,1,10,0,10,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,7.379292,1.046172,34143.854141,30,populate,200,274,
regex,1,11,0,11,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.798583,1.085839,34147.886038,31,populate,200,274,
regex,1,12,0,12,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.664541,0.985630,34151.550055,32,populate,200,273,
regex,1,13,0,13,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.635667,1.047922,34155.357122,33,populate,200,275,
regex,1,14,0,14,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.782000,1.087798,34159.046173,34,populate,200,273,
regex,1,15,0,15,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.750958,1.058172,34162.899017,35,populate,200,275,
regex,1,16,0,16,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.545167,1.160840,34166.594028,36,populate,200,272,
regex,1,17,0,17,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,3.672541,1.123798,34170.283079,37,populate,200,274,
regex,1,18,0,18,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.002917,1.159215,34174.173117,38,populate,200,274,
regex,1,19,0,19,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,10.688000,7.687957,34184.478045,39,populate,200,274,
regex,1,20,0,20,0,,e84f9a00-5c0b-4472-8ce9-f621a56c168b,,4.074792,1.009839,34189.043045,40,populate,200,275,
