workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
regex,1,1,1,1,1,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,32564.106500,2383.466916,1.303506,33967.453957,1,redis,200,268,
regex,1,2,1,2,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.588042,1.057172,33990.085840,2,redis,200,267,
regex,1,3,1,3,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.560291,1.044756,33994.740963,3,redis,200,267,
regex,1,4,1,4,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.141750,1.077255,33998.981953,4,redis,200,268,
regex,1,5,1,5,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.558584,1.125880,34003.504992,5,redis,200,266,
regex,1,6,1,6,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.165917,1.068338,34007.951021,6,redis,200,267,
regex,1,7,1,7,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.986166,1.072005,34011.710882,7,redis,200,267,
regex,1,8,1,8,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.036833,1.063047,34015.935898,8,redis,200,267,
regex,1,9,1,9,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.097958,1.070797,34020.091057,9,redis,200,267,
regex,1,10,1,10,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.790375,1.163798,34024.121046,10,redis,200,269,
regex,1,11,1,11,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.311125,1.117256,34028.260946,11,redis,200,269,
regex,1,12,1,12,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.942958,1.234173,34032.467842,12,redis,200,268,
regex,1,13,1,13,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.014625,1.095673,34036.366940,13,redis,200,268,
regex,1,14,1,14,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.236875,1.095923,34040.727854,14,redis,200,269,
regex,1,15,1,15,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.285250,1.098631,34045.026064,15,redis,200,268,
regex,1,16,1,16,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.894917,1.094381,34049.088001,16,redis,200,268,
regex,1,17,1,17,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.969666,1.156381,34053.062916,17,redis,200,266,
regex,1,18,1,18,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,3.987833,1.256757,34057.155848,18,redis,200,268,
regex,1,19,1,19,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.086750,1.143673,34061.085939,19,redis,200,268,
regex,1,20,1,20,0,julia-precompile-5589966cd-9bjsv,c88be4a2-e24b-4f27-8740-4512193fad85,,4.226000,1.098339,34065.474033,20,redis,200,268,
regex,1,21,2,1,1,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,32578.092625,2163.347625,1.153048,33941.877842,1,redis,200,267,
regex,1,22,2,2,0,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,,4.489583,1.045047,33962.678909,2,redis,200,267,
regex,1,23,2,3,0,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,,4.754125,1.095964,33966.660976,3,redis,200,267,
regex,1,24,2,4,0,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,,4.877583,1.847260,33972.316027,4,redis,200,266,
regex,1,25,2,5,0,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,,4.757083,1.083214,33976.966858,5,redis,200,268,
regex,1,26,2,6,0,julia-precompile-5589966cd-wv5hk,e98f3624-b949-4582-ac6f-f872955598d5,,4.164667,1.051006,33981.444836,6,redis,200,267,
