workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
sort,1,1,1,1,1,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,32664.547875,2418.744583,51.132096,34218.535900,1,baseline,200,314,
sort,1,2,1,2,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,5.647291,1.869635,34255.905867,2,baseline,200,314,
sort,1,3,1,3,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.799750,1.859384,34260.812044,3,baseline,200,313,
sort,1,4,1,4,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,5.267875,1.878385,34266.056061,4,baseline,200,314,
sort,1,5,1,5,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.740042,1.830551,34271.038055,5,baseline,200,313,
sort,1,6,1,6,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,5.047083,1.921260,34276.006937,6,baseline,200,312,
sort,1,7,1,7,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,5.154000,2.178552,34281.396866,7,baseline,200,313,
sort,1,8,1,8,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,8.817917,2.391513,34289.783001,8,baseline,200,314,
sort,1,9,1,9,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.707167,2.053219,34295.072079,9,baseline,200,314,
sort,1,10,1,10,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,5.137500,2.147761,34300.164938,10,baseline,200,314,
sort,1,11,1,11,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.639750,1.939385,34304.818869,11,baseline,200,315,
sort,1,12,1,12,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.971625,1.823759,34309.486866,12,baseline,200,315,
sort,1,13,1,13,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,11.887916,8.499252,34321.521997,13,baseline,200,314,
sort,1,14,1,14,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.726917,1.667759,34326.658010,14,baseline,200,314,
sort,1,15,1,15,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.482333,1.634259,34331.090927,15,baseline,200,314,
sort,1,16,1,16,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.336291,1.625717,34335.653067,16,baseline,200,314,
sort,1,17,1,17,0,julia-precompile-6576c7d84b-22rzg,57b847ce-441c-4b0e-ba97-5ce15e89883e,,4.810583,1.666842,34340.384007,17,baseline,200,315,
