workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
sort,1,1,1,1,1,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,33424.993083,2811.062584,62.014870,35136.563063,1,redis,200,307,
sort,1,2,1,2,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,7.457209,2.467055,35183.624029,2,redis,200,308,
sort,1,3,1,3,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.260333,1.881718,35190.223932,3,redis,200,308,
sort,1,4,1,4,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,8.988250,4.327689,35198.833942,4,redis,200,307,
sort,1,5,1,5,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,5.802542,1.847843,35205.403090,5,redis,200,308,
sort,1,6,1,6,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.678125,1.842718,35212.075949,6,redis,200,307,
sort,1,7,1,7,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.975792,2.027053,35217.864990,7,redis,200,308,
sort,1,8,1,8,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,7.853833,2.206261,35226.945877,8,redis,200,308,
sort,1,9,1,9,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.713125,2.171178,35233.695030,9,redis,200,306,
sort,1,10,1,10,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.931167,2.652472,35240.661860,10,redis,200,308,
sort,1,11,1,11,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,8.903584,4.302356,35249.552965,11,redis,200,309,
sort,1,12,1,12,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,9.052084,4.206439,35258.498907,12,redis,200,308,
sort,1,13,1,13,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,21.178375,12.795734,35278.212070,13,redis,200,309,
sort,1,14,1,14,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,8.830708,1.826926,35289.160967,14,redis,200,308,
sort,1,15,1,15,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,7.354292,2.025802,35295.360088,15,redis,200,308,
sort,1,16,1,16,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,33.317958,4.302689,35328.971863,16,redis,200,308,
sort,1,17,1,17,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,11.725291,1.838718,35342.000008,17,redis,200,309,
sort,1,18,1,18,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,6.660667,1.815301,35348.270893,18,redis,200,309,
sort,1,19,1,19,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,20.449708,3.662811,35368.617058,19,redis,200,308,
sort,1,20,1,20,0,julia-precompile-5589966cd-hmd9w,1a16e738-ee04-467c-b5b3-1bd0245e68b1,,7.425750,1.959553,35376.528978,20,redis,200,308,
sort,1,21,2,1,1,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,32851.012333,2855.871625,64.710342,34793.830872,1,redis,200,308,
sort,1,22,2,2,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,8.069541,2.354346,34840.324879,2,redis,200,307,
sort,1,23,2,3,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,5.597333,2.304012,34846.338987,3,redis,200,308,
sort,1,24,2,4,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,5.941709,2.402138,34852.341890,4,redis,200,307,
sort,1,25,2,5,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,7.051542,2.375595,34859.328985,5,redis,200,307,
sort,1,26,2,6,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,5.665167,2.330304,34865.170956,6,redis,200,307,
sort,1,27,2,7,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,13.857875,4.052397,34878.756046,7,redis,200,308,
sort,1,28,2,8,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,7.261041,3.523852,34886.456966,8,redis,200,307,
sort,1,29,2,9,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,6.166042,2.720139,34892.730951,9,redis,200,308,
sort,1,30,2,10,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,5.046959,1.889676,34897.723913,10,redis,200,308,
sort,1,31,2,11,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,10.099000,2.925390,34906.617880,11,redis,200,308,
sort,1,32,2,12,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,10.558084,3.058516,34917.934895,12,redis,200,308,
sort,1,33,2,13,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,14.253250,9.980386,34932.786942,13,redis,200,308,
sort,1,34,2,14,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.777250,1.687301,34938.045025,14,redis,200,309,
sort,1,35,2,15,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.807625,1.703968,34942.909002,15,redis,200,308,
sort,1,36,2,16,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.233375,1.600258,34947.365999,16,redis,200,307,
sort,1,37,2,17,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,5.694250,1.920051,34952.706099,17,redis,200,308,
sort,1,38,2,18,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.769750,1.708175,34957.921028,18,redis,200,308,
sort,1,39,2,19,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.772625,1.773426,34962.594032,19,redis,200,307,
sort,1,40,2,20,0,julia-precompile-5589966cd-wck4k,5536b703-9909-43c1-b5ac-9963394952e9,,4.555250,1.706092,34967.360020,20,redis,200,308,
sort,1,41,3,1,1,julia-precompile-5589966cd-8jxwc,cedcbc24-ed70-4e4a-a343-cfce68c901c0,33793.616709,2383.248833,52.563278,35264.261961,1,redis,200,308,
