workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
h2,2,1,1,1,1,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,32572.416709,2366.942917,1.660664,33988.200903,1,redis,200,260,
h2,2,2,1,2,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.554000,2.050582,34012.029886,2,redis,200,260,
h2,2,3,1,3,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,7.461708,3.093330,34019.272804,3,redis,200,260,
h2,2,4,1,4,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,6.538209,2.920788,34026.130915,4,redis,200,260,
h2,2,5,1,5,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,7.709375,3.491705,34033.991814,5,redis,200,260,
h2,2,6,1,6,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,10.313875,6.846409,34044.165850,6,redis,200,260,
h2,2,7,1,7,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,7.827834,4.525579,34052.012920,7,redis,200,260,
h2,2,8,1,8,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,12.853500,9.214949,34064.840794,8,redis,200,260,
h2,2,9,1,9,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,4.387708,1.312499,34069.880962,9,redis,200,261,
h2,2,10,1,10,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,4.517958,1.380873,34074.397802,10,redis,200,262,
h2,2,11,1,11,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,4.693541,1.309582,34079.151869,11,redis,200,261,
h2,2,12,1,12,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.056250,1.329040,34084.022999,12,redis,200,261,
h2,2,13,1,13,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.450375,1.360207,34089.675903,13,redis,200,261,
h2,2,14,1,14,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,4.656208,1.358999,34094.522953,14,redis,200,261,
h2,2,15,1,15,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,4.622000,1.934415,34099.339008,15,redis,200,260,
h2,2,16,1,16,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.117458,1.881831,34104.346991,16,redis,200,261,
h2,2,17,1,17,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.002917,1.968498,34109.481812,17,redis,200,261,
h2,2,18,1,18,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,5.328500,2.143789,34114.899874,18,redis,200,261,
h2,2,19,1,19,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,14.776542,4.877120,34122.874975,19,redis,200,260,
h2,2,20,1,20,0,julia-precompile-748b78bc68-kt46l,2bd31984-ce72-4619-9a44-59c55f406e38,,8.383875,3.810746,34138.087988,20,redis,200,261,
h2,2,21,2,1,1,julia-precompile-748b78bc68-l2q7m,54f2f08a-3c42-4503-adcc-697f0bcdc7f2,32210.102917,2329.267541,1.444166,33706.592083,1,redis,200,261,
h2,2,22,2,2,0,julia-precompile-748b78bc68-l2q7m,54f2f08a-3c42-4503-adcc-697f0bcdc7f2,,5.954666,1.781790,33729.672194,2,redis,200,259,
h2,2,23,2,3,0,julia-precompile-748b78bc68-l2q7m,54f2f08a-3c42-4503-adcc-697f0bcdc7f2,,11.033125,2.482039,33735.445976,3,redis,200,261,
h2,2,24,2,4,0,julia-precompile-748b78bc68-l2q7m,54f2f08a-3c42-4503-adcc-697f0bcdc7f2,,6.243750,2.679082,33746.882200,4,redis,200,260,
