workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
h2,2,1,1,1,1,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,33234.900375,2560.370125,2.890159,34315.852880,1,baseline,200,267,
h2,2,2,1,2,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,6.874500,1.989493,34342.762947,2,baseline,200,266,
h2,2,3,1,3,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,6.776792,2.537428,34349.952936,3,baseline,200,267,
h2,2,4,1,4,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,6.465541,2.640364,34356.199980,4,baseline,200,267,
h2,2,5,1,5,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,6.645584,2.775139,34362.998009,5,baseline,200,266,
h2,2,6,1,6,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.991125,2.756510,34369.440079,6,baseline,200,265,
h2,2,7,1,7,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,7.123084,3.042854,34376.494884,7,baseline,200,266,
h2,2,8,1,8,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,14.579000,10.023854,34389.986992,8,baseline,200,268,
h2,2,9,1,9,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.908375,1.822796,34397.324085,9,baseline,200,267,
h2,2,10,1,10,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,7.573000,2.489419,34404.135942,10,baseline,200,267,
h2,2,11,1,11,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.003167,1.764243,34410.405874,11,baseline,200,267,
h2,2,12,1,12,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.310833,1.798374,34415.683031,12,baseline,200,267,
h2,2,13,1,13,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.391875,1.731320,34420.707941,13,baseline,200,265,
h2,2,14,1,14,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.989250,1.742989,34427.169085,14,baseline,200,267,
h2,2,15,1,15,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.569334,2.046504,34432.728052,15,baseline,200,267,
h2,2,16,1,16,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.554292,2.069341,34438.373089,16,baseline,200,267,
h2,2,17,1,17,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,6.261000,2.122934,34444.726944,17,baseline,200,267,
h2,2,18,1,18,0,julia-precompile-5f95dd9ff5-m8b2m,ff3e79f6-3364-4ca3-a03c-ec44357037cb,,5.900834,2.104015,34450.702906,18,baseline,200,267,
