workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,2,1,1,1,1,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,32444.164917,2693.477542,31.465072,33957.859993,1,baseline,200,238,
lusearch,2,2,1,2,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,10.911667,6.270924,33989.129066,2,baseline,200,238,
lusearch,2,3,1,3,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,16.939792,12.882163,34006.234884,3,baseline,200,239,
lusearch,2,4,1,4,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,8.917250,4.500766,34015.444994,4,baseline,200,237,
lusearch,2,5,1,5,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,9.623125,5.004448,34024.883032,5,baseline,200,237,
lusearch,2,6,1,6,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,7.713875,4.452519,34033.042908,6,baseline,200,238,
lusearch,2,7,1,7,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,10.298917,5.000990,34043.068886,7,baseline,200,236,
lusearch,2,8,1,8,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,11.461167,7.638603,34054.692984,8,baseline,200,237,
lusearch,2,9,1,9,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,14.658083,9.905110,34069.438934,9,baseline,200,236,
lusearch,2,10,1,10,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,8.653708,4.494308,34078.352928,10,baseline,200,238,
lusearch,2,11,1,11,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,8.581958,4.785376,34086.956024,11,baseline,200,238,
lusearch,2,12,1,12,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,17.863042,4.562888,34096.113920,12,baseline,200,238,
lusearch,2,13,1,13,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,13.767958,5.036071,34117.722988,13,baseline,200,238,
lusearch,2,14,1,14,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,11.480042,5.115901,34129.491091,14,baseline,200,239,
lusearch,2,15,1,15,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,36.276666,6.586908,34166.810989,15,baseline,200,238,
lusearch,2,16,1,16,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,9.658833,4.630051,34176.702023,16,baseline,200,238,
lusearch,2,17,1,17,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,8.722084,4.812125,34185.273886,17,baseline,200,238,
lusearch,2,18,1,18,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,9.004791,4.706422,34194.303036,18,baseline,200,239,
lusearch,2,19,1,19,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,9.153958,4.871830,34203.804970,19,baseline,200,236,
lusearch,2,20,1,20,0,julia-precompile-5f95dd9ff5-f8xvt,5c28d955-25ba-4c72-92d8-aa17f38133f1,,9.690666,4.531723,34213.541031,20,baseline,200,238,
lusearch,2,21,2,1,1,julia-precompile-5f95dd9ff5-jpkd7,7d922fb4-070f-498a-819b-0aba9dd8e6ff,32134.173625,3398.867958,29.742106,34653.491020,1,baseline,200,238,
lusearch,2,22,2,2,0,julia-precompile-5f95dd9ff5-jpkd7,7d922fb4-070f-498a-819b-0aba9dd8e6ff,,9.957708,5.420674,34681.237936,2,baseline,200,236,
lusearch,2,23,2,3,0,julia-precompile-5f95dd9ff5-jpkd7,7d922fb4-070f-498a-819b-0aba9dd8e6ff,,19.155916,14.692938,34700.204849,3,baseline,200,239,
lusearch,2,24,2,4,0,julia-precompile-5f95dd9ff5-jpkd7,7d922fb4-070f-498a-819b-0aba9dd8e6ff,,8.290833,4.480223,34709.203005,4,baseline,200,238,
lusearch,2,25,2,5,0,julia-precompile-5f95dd9ff5-jpkd7,7d922fb4-070f-498a-819b-0aba9dd8e6ff,,8.191375,4.516388,34717.283010,5,baseline,200,237,
