workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
eclipse,2,1,1,1,1,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,32667.891833,2929.222791,74.547191,34451.081038,1,baseline,200,290,
eclipse,2,2,1,2,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,17.310833,12.913536,34485.604048,2,baseline,200,290,
eclipse,2,3,1,3,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,21.440542,17.900768,34507.241011,3,baseline,200,290,
eclipse,2,4,1,4,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.307458,9.613223,34520.863056,4,baseline,200,289,
eclipse,2,5,1,5,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.403125,9.773691,34534.122944,5,baseline,200,290,
eclipse,2,6,1,6,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,14.411958,10.017645,34548.552036,6,baseline,200,289,
eclipse,2,7,1,7,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,14.835750,10.608044,34563.411951,7,baseline,200,290,
eclipse,2,8,1,8,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,15.731375,12.010746,34579.226017,8,baseline,200,290,
eclipse,2,9,1,9,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,21.488958,17.819534,34601.000071,9,baseline,200,289,
eclipse,2,10,1,10,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.296500,9.652194,34614.532948,10,baseline,200,290,
eclipse,2,11,1,11,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.249125,9.567917,34627.814054,11,baseline,200,291,
eclipse,2,12,1,12,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.907875,9.492518,34640.978098,12,baseline,200,290,
eclipse,2,13,1,13,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.731750,9.392902,34653.960943,13,baseline,200,291,
eclipse,2,14,1,14,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.387834,9.357266,34666.306973,14,baseline,200,290,
eclipse,2,15,1,15,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.496334,9.480388,34679.019928,15,baseline,200,291,
eclipse,2,16,1,16,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,15.798917,12.514074,34694.633961,16,baseline,200,291,
eclipse,2,17,1,17,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.532333,9.449504,34707.463026,17,baseline,200,290,
eclipse,2,18,1,18,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.097084,9.882684,34720.549107,18,baseline,200,289,
eclipse,2,19,1,19,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.060709,9.957126,34733.709097,19,baseline,200,290,
eclipse,2,20,1,20,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.131416,9.399654,34746.815920,20,baseline,200,289,
eclipse,2,21,1,21,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.235166,9.388276,34759.727001,21,baseline,200,291,
eclipse,2,22,1,22,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,16.963750,13.142527,34776.903152,22,baseline,200,291,
eclipse,2,23,1,23,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.400542,9.905317,34790.635109,23,baseline,200,291,
eclipse,2,24,1,24,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.763500,9.483348,34803.517103,24,baseline,200,290,
eclipse,2,25,1,25,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.893500,9.745140,34816.518068,25,baseline,200,288,
eclipse,2,26,1,26,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.496750,9.517400,34829.175949,26,baseline,200,288,
eclipse,2,27,1,27,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,13.766584,9.535323,34842.976093,27,baseline,200,291,
eclipse,2,28,1,28,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.813916,9.594967,34855.826139,28,baseline,200,290,
eclipse,2,29,1,29,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,16.271625,12.610480,34871.915102,29,baseline,200,291,
eclipse,2,30,1,30,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.634833,9.535489,34884.941101,30,baseline,200,290,
eclipse,2,31,1,31,0,julia-precompile-688d67dd49-4tnw5,b4032905-990c-42f9-8294-99c0cef8fd3e,,12.739917,9.596051,34897.581100,31,baseline,200,290,
